primaryName
John Travolta
Denzel Washington
Daniel Radcliffe
Keanu Reeves
Jake Gyllenhaal
Ian McKellen
Liam Neeson
James Franco
Morgan Freeman
Jeremy Renner
Owen Wilson
Leonardo DiCaprio
Ben Stiller
Samuel L. Jackson
Paul Rudd
Vin Diesel
Jim Carrey
Jeff Bridges
Josh Brolin
Jonah Hill
Antonio Banderas
Sean Connery
John C. Reilly
Jamie Foxx
Al Pacino
Jason Statham
Chris Hemsworth
Eddie Murphy
Chris Evans
Joe Pesci
Mel Gibson
Ryan Reynolds
Chris Pine
Dwayne Johnson
Mark Wahlberg
Patrick Wilson
Bill Murray
Ewan McGregor
Russell Crowe
Kevin Costner
Tom Hardy
Robin Williams
Daniel Craig
Colin Farrell
Tom Hanks
Matt Damon
John Goodman
Philip Seymour Hoffman
Harrison Ford
Ryan Gosling
Steve Carell
George Clooney
Bradley Cooper
Bruce Willis
Jack Black
Joaquin Phoenix
Gerard Butler
Adam Sandler
Robert De Niro
Will Ferrell
Forest Whitaker
Jack Nicholson
John Cusack
Mark Ruffalo
Jude Law
Kurt Russell
Matthew McConaughey
Jason Bateman
Gary Oldman
Sylvester Stallone
Ralph Fiennes
Seth Rogen
Brad Pitt
Ethan Hawke
Robert Downey Jr.
Anthony Hopkins
Joseph Gordon-Levitt
Willem Dafoe
Edward Norton
Nicolas Cage
Tom Cruise
John Malkovich
Arnold Schwarzenegger
Ed Harris
Dustin Hoffman
Johnny Depp
James McAvoy
Kevin Spacey
Shia LaBeouf
Hugh Jackman
Woody Harrelson
Channing Tatum
Will Smith
Ben Affleck
Christian Bale
Vince Vaughn
Kevin Bacon
