tconst,primaryTitle,numVotes,averageRating,startYear,genre,yearRange
tt1070874,The Trial of the Chicago 7,102326,7.8,2020,Thriller,2020 - 2030
tt6723592,Tenet,302787,7.5,2020,Thriller,2020 - 2030
tt8936646,Extraction,160910,6.7,2020,Thriller,2020 - 2030
tt6723592,Tenet,302787,7.5,2020,Sci-Fi,2020 - 2030
tt8110330,Dil Bechara,112080,6.6,2020,Romance,2020 - 2030
tt1051906,The Invisible Man,170638,7.1,2020,Mystery,2020 - 2030
tt1051906,The Invisible Man,170638,7.1,2020,Horror,2020 - 2030
tt1070874,The Trial of the Chicago 7,102326,7.8,2020,History,2020 - 2030
tt7556122,The Old Guard,128749,6.6,2020,Fantasy,2020 - 2030
tt7126948,Wonder Woman 1984,163603,5.4,2020,Fantasy,2020 - 2030
tt1070874,The Trial of the Chicago 7,102326,7.8,2020,Drama,2020 - 2030
tt1051906,The Invisible Man,170638,7.1,2020,Drama,2020 - 2030
tt8110330,Dil Bechara,112080,6.6,2020,Drama,2020 - 2030
tt4566758,Mulan,112545,5.6,2020,Drama,2020 - 2030
tt1502397,Bad Boys for Life,131994,6.6,2020,Crime,2020 - 2030
tt7846844,Enola Holmes,128083,6.6,2020,Crime,2020 - 2030
tt2948372,Soul,187645,8.1,2020,Comedy,2020 - 2030
tt7146812,Onward,103881,7.4,2020,Comedy,2020 - 2030
tt13143964,Borat Subsequent Moviefilm,108084,6.7,2020,Comedy,2020 - 2030
tt1502397,Bad Boys for Life,131994,6.6,2020,Comedy,2020 - 2030
tt8110330,Dil Bechara,112080,6.6,2020,Comedy,2020 - 2030
tt7713068,Birds of Prey,171079,6.1,2020,Comedy,2020 - 2030
tt2948372,Soul,187645,8.1,2020,Animation,2020 - 2030
tt7146812,Onward,103881,7.4,2020,Animation,2020 - 2030
tt2948372,Soul,187645,8.1,2020,Adventure,2020 - 2030
tt7146812,Onward,103881,7.4,2020,Adventure,2020 - 2030
tt7556122,The Old Guard,128749,6.6,2020,Adventure,2020 - 2030
tt7846844,Enola Holmes,128083,6.6,2020,Adventure,2020 - 2030
tt7713068,Birds of Prey,171079,6.1,2020,Adventure,2020 - 2030
tt4566758,Mulan,112545,5.6,2020,Adventure,2020 - 2030
tt7126948,Wonder Woman 1984,163603,5.4,2020,Adventure,2020 - 2030
tt6723592,Tenet,302787,7.5,2020,Action,2020 - 2030
tt8936646,Extraction,160910,6.7,2020,Action,2020 - 2030
tt1502397,Bad Boys for Life,131994,6.6,2020,Action,2020 - 2030
tt7556122,The Old Guard,128749,6.6,2020,Action,2020 - 2030
tt7846844,Enola Holmes,128083,6.6,2020,Action,2020 - 2030
tt7713068,Birds of Prey,171079,6.1,2020,Action,2020 - 2030
tt4566758,Mulan,112545,5.6,2020,Action,2020 - 2030
tt7126948,Wonder Woman 1984,163603,5.4,2020,Action,2020 - 2030
tt1853728,Django Unchained,1366477,8.4,2012,Western,2010 - 2020
tt1403865,True Grit,313245,7.6,2010,Western,2010 - 2020
tt2404435,The Magnificent Seven,185992,6.9,2016,Western,2010 - 2020
tt1210819,The Lone Ranger,222217,6.4,2013,Western,2010 - 2020
tt2557490,A Million Ways to Die in the West,177867,6.1,2014,Western,2010 - 2020
tt5813916,The Mountain II,105338,8.8,2016,War,2010 - 2020
tt8579674,1917,437055,8.3,2019,War,2010 - 2020
tt1255953,Incendies,151560,8.3,2010,War,2010 - 2020
tt2584384,Jojo Rabbit,304026,7.9,2019,War,2010 - 2020
tt2713180,Fury,429364,7.6,2014,War,2010 - 2020
tt0816442,The Book Thief,127785,7.6,2013,War,2010 - 2020
tt0989757,Dear John,139519,6.3,2010,War,2010 - 2020
tt6751668,Parasite,568695,8.6,2019,Thriller,2010 - 2020
tt7286456,Joker,954779,8.4,2019,Thriller,2010 - 2020
tt8579674,1917,437055,8.3,2019,Thriller,2010 - 2020
tt1130884,Shutter Island,1138716,8.2,2010,Thriller,2010 - 2020
tt2267998,Gone Girl,865627,8.1,2014,Thriller,2010 - 2020
tt3170832,Room,374508,8.1,2015,Thriller,2010 - 2020
tt3011894,Wild Tales,178429,8.1,2014,Thriller,2010 - 2020
tt4016934,The Handmaiden,115519,8.1,2016,Thriller,2010 - 2020
tt0947798,Black Swan,702519,8.0,2010,Thriller,2010 - 2020
tt2084970,The Imitation Game,689228,8.0,2014,Thriller,2010 - 2020
tt1291584,Warrior,437865,8.2,2011,Sport,2010 - 2020
tt0964517,The Fighter,342192,7.8,2010,Sport,2010 - 2020
tt1210166,Moneyball,372208,7.6,2011,Sport,2010 - 2020
tt3076658,Creed,248763,7.6,2015,Sport,2010 - 2020
tt1798684,Southpaw,218825,7.4,2015,Sport,2010 - 2020
tt6343314,Creed II,106416,7.1,2018,Sport,2010 - 2020
tt1375666,Inception,2079706,8.8,2010,Sci-Fi,2010 - 2020
tt0816692,Interstellar,1524445,8.6,2014,Sci-Fi,2010 - 2020
tt4154756,Avengers: Infinity War,844115,8.4,2018,Sci-Fi,2010 - 2020
tt1392190,Mad Max: Fury Road,887264,8.1,2015,Sci-Fi,2010 - 2020
tt3315342,Logan,652336,8.1,2017,Sci-Fi,2010 - 2020
tt3659388,The Martian,764349,8.0,2015,Sci-Fi,2010 - 2020
tt1798709,Her,544267,8.0,2013,Sci-Fi,2010 - 2020
tt0848228,The Avengers,1265694,8.0,2012,Sci-Fi,2010 - 2020
tt2488496,Star Wars: Episode VII - The Force Awakens,863838,7.9,2015,Sci-Fi,2010 - 2020
tt1877832,X-Men: Days of Future Past,662601,7.9,2014,Sci-Fi,2010 - 2020
tt4016934,The Handmaiden,115519,8.1,2016,Romance,2010 - 2020
tt1798709,Her,544267,8.0,2013,Romance,2010 - 2020
tt1659337,The Perks of Being a Wallflower,464572,8.0,2012,Romance,2010 - 2020
tt7653254,Marriage Story,250340,7.9,2019,Romance,2010 - 2020
tt1655442,The Artist,231303,7.9,2011,Romance,2010 - 2020
tt5726616,Call Me by Your Name,215947,7.9,2017,Romance,2010 - 2020
tt2209418,Before Midnight,142425,7.9,2013,Romance,2010 - 2020
tt1748122,Moonrise Kingdom,320397,7.8,2012,Romance,2010 - 2020
tt3281548,Little Women,146520,7.8,2019,Romance,2010 - 2020
tt1045658,Silver Linings Playbook,664325,7.7,2012,Romance,2010 - 2020
tt1255953,Incendies,151560,8.3,2010,Mystery,2010 - 2020
tt1130884,Shutter Island,1138716,8.2,2010,Mystery,2010 - 2020
tt2267998,Gone Girl,865627,8.1,2014,Mystery,2010 - 2020
tt1392214,Prisoners,605558,8.1,2013,Mystery,2010 - 2020
tt4857264,The Invisible Guest,144857,8.1,2016,Mystery,2010 - 2020
tt1856101,Blade Runner 2049,465834,8.0,2017,Mystery,2010 - 2020
tt3460252,The Hateful Eight,521020,7.8,2015,Mystery,2010 - 2020
tt1568346,The Girl with the Dragon Tattoo,425494,7.8,2011,Mystery,2010 - 2020
tt1924396,The Best Offer,109082,7.8,2013,Mystery,2010 - 2020
tt5052448,Get Out,496989,7.7,2017,Mystery,2010 - 2020
tt2338151,PK,163978,8.1,2014,Musical,2010 - 2020
tt1707386,Les Misérables,310109,7.6,2012,Musical,2010 - 2020
tt1485796,The Greatest Showman,241574,7.6,2017,Musical,2010 - 2020
tt6412452,The Ballad of Buster Scruggs,123996,7.3,2018,Musical,2010 - 2020
tt2771200,Beauty and the Beast,276198,7.1,2017,Musical,2010 - 2020
tt2582802,Whiplash,723288,8.5,2014,Music,2010 - 2020
tt3783958,La La Land,509987,8.0,2016,Music,2010 - 2020
tt1727824,Bohemian Rhapsody,455571,8.0,2018,Music,2010 - 2020
tt1517451,A Star Is Born,337890,7.6,2018,Music,2010 - 2020
tt2042568,Inside Llewyn Davis,140553,7.5,2013,Music,2010 - 2020
tt1980929,Begin Again,144143,7.4,2013,Music,2010 - 2020
tt2066051,Rocketman,140379,7.3,2019,Music,2010 - 2020
tt1981677,Pitch Perfect,277667,7.1,2012,Music,2010 - 2020
tt8079248,Yesterday,115785,6.8,2019,Music,2010 - 2020
tt1355630,If I Stay,116307,6.7,2014,Music,2010 - 2020
tt5052448,Get Out,496989,7.7,2017,Horror,2010 - 2020
tt3416742,What We Do in the Shadows,158615,7.7,2014,Horror,2010 - 2020
tt5700672,Train to Busan,168326,7.6,2016,Horror,2010 - 2020
tt1189073,The Skin I Live In,139753,7.6,2011,Horror,2010 - 2020
tt1457767,The Conjuring,444256,7.5,2013,Horror,2010 - 2020
tt6644200,A Quiet Place,410797,7.5,2018,Horror,2010 - 2020
tt1465522,Tucker and Dale vs Evil,165817,7.5,2010,Horror,2010 - 2020
tt7984734,The Lighthouse,146132,7.5,2019,Horror,2010 - 2020
tt1396484,It,462143,7.3,2017,Horror,2010 - 2020
tt4972582,Split,429248,7.3,2016,Horror,2010 - 2020
tt2024544,12 Years a Slave,644065,8.1,2013,History,2010 - 2020
tt2119532,Hacksaw Ridge,439799,8.1,2016,History,2010 - 2020
tt1504320,The King's Speech,641999,8.0,2010,History,2010 - 2020
tt5013056,Dunkirk,560083,7.8,2017,History,2010 - 2020
tt4846340,Hidden Figures,202414,7.8,2016,History,2010 - 2020
tt1398426,Straight Outta Compton,180005,7.8,2015,History,2010 - 2020
tt1707386,Les Misérables,310109,7.6,2012,History,2010 - 2020
tt3682448,Bridge of Spies,289183,7.6,2015,History,2010 - 2020
tt1649419,The Impossible,202062,7.6,2012,History,2010 - 2020
tt1790885,Zero Dark Thirty,273377,7.4,2012,History,2010 - 2020
tt5311514,Your Name.,198640,8.4,2016,Fantasy,2010 - 2020
tt1201607,Harry Potter and the Deathly Hallows: Part 2,769012,8.1,2011,Fantasy,2010 - 2020
tt0454876,Life of Pi,583075,7.9,2012,Fantasy,2010 - 2020
tt0903624,The Hobbit: An Unexpected Journey,759974,7.8,2012,Fantasy,2010 - 2020
tt1170358,The Hobbit: The Desolation of Smaug,603746,7.8,2013,Fantasy,2010 - 2020
tt2194499,About Time,305995,7.8,2013,Fantasy,2010 - 2020
